2020-09-30 | 17:05:26.571 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurant7SimpleCategoryBased.longitude: must be greater than or equal to 123
2020-09-30 | 17:05:28.396 | Test worker          | ERROR | .s.c.RestaurantController | ID:          | jwt token의 유저 아이디와 path param 유저 아이디가 일치하지 않습니다.
2020-09-30 | 17:05:28.396 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | jwt token의 유저 아이디와 path param 유저 아이디가 일치하지 않습니다. :100
2020-09-30 | 17:05:28.856 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.radius: must be less than or equal to 0.02
2020-09-30 | 17:05:29.288 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'latitude' is not present
2020-09-30 | 17:05:30.008 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'radius' is not present
2020-09-30 | 17:05:30.431 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurant7SimpleCategoryBased.latitude: must be greater than or equal to 32
2020-09-30 | 17:05:30.959 | Test worker          | ERROR | c.s.s.s.RestaurantService | ID:          | 선택된 식당 카드가 7장 미만입니다.
2020-09-30 | 17:05:31.108 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 선택된 식당 카드가 7장 미만입니다.
2020-09-30 | 17:05:32.708 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.radius: must be greater than or equal to 0.001
2020-09-30 | 17:05:33.173 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurant7SimpleCategoryBased.radius: must be less than or equal to 0.02
2020-09-30 | 17:05:33.651 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurant7SimpleCategoryBased.longitude: must be less than or equal to 133
2020-09-30 | 17:05:35.028 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2020-09-30 | 17:05:35.029 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2020-09-30 | 17:05:35.885 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurant7SimpleCategoryBased.latitude: must be less than or equal to 43
2020-09-30 | 17:05:36.360 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | getRestaurantWithUserCategory.longitude: must be less than or equal to 133
2020-09-30 | 17:05:36.794 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | jwt token은 Bearer로 시작해야 합니다
2020-09-30 | 17:05:37.243 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'longitude' is not present
2020-09-30 | 17:05:37.693 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Expired JWT token
2020-09-30 | 17:05:39.013 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2020-09-30 | 17:05:39.044 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2020-09-30 | 17:05:40.424 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(5694) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-09-30 | 17:05:40.424 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(5694) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-09-30 | 17:05:43.452 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2020-09-30 | 17:05:43.466 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2020-09-30 | 17:05:46.313 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(5701) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-09-30 | 17:05:46.338 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(5701) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-09-30 | 17:05:46.611 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Expired JWT token
2020-09-30 | 17:05:46.820 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2020-09-30 | 17:05:46.820 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2020-09-30 | 17:05:47.017 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2020-09-30 | 17:05:47.017 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2020-09-30 | 17:05:48.329 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(5705) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-09-30 | 17:05:48.360 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(5705) 저장된 리프레시 토큰과 일치하지 않습니다.
