2020-10-04 | 14:32:18.179 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | jwt token은 Bearer로 시작해야 합니다
2020-10-04 | 14:32:18.604 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Required BigDecimal parameter 'longitude' is not present
2020-10-04 | 14:32:18.908 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Expired JWT token
2020-10-04 | 14:32:21.075 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2020-10-04 | 14:32:21.114 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2020-10-04 | 14:32:22.446 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(5980) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-10-04 | 14:32:22.446 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(5980) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-10-04 | 14:32:25.848 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2020-10-04 | 14:32:25.861 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2020-10-04 | 14:32:28.662 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(5987) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-10-04 | 14:32:28.679 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(5987) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-10-04 | 14:32:28.941 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | Expired JWT token
2020-10-04 | 14:32:29.133 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
2020-10-04 | 14:32:29.134 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다.
2020-10-04 | 14:32:29.308 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다
2020-10-04 | 14:32:29.308 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 토큰 타입이 불일치 합니다. refresh token이 필요합니다.
2020-10-04 | 14:32:30.621 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 유저(5991) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-10-04 | 14:32:30.652 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | 유저(5991) 저장된 리프레시 토큰과 일치하지 않습니다.
2020-10-04 | 15:05:43.569 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLiking[4].liking: must not be null, createUserLiking.userLikingReqeust.userLiking[2].liking: must not be null, createUserLiking.userLikingReqeust.userLiking[0].liking: must not be null, createUserLiking.userLikingReqeust.userLiking[3].liking: must not be null, createUserLiking.userLikingReqeust.userLiking[6].liking: must not be null, createUserLiking.userLikingReqeust.userLiking[1].liking: must not be null, createUserLiking.userLikingReqeust.userLiking[5].liking: must not be null
2020-10-04 | 15:05:43.945 | Test worker          | ERROR | c.s.s.c.UserController    | ID:          | jwt token의 유저 아이디와 path param 유저 아이디가 일치하지 않습니다.
2020-10-04 | 15:05:43.946 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | jwt token의 유저 아이디와 path param 유저 아이디가 일치하지 않습니다. :98123
2020-10-04 | 15:05:44.396 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | restaurant not found with id : '식당  존재하지 않는 식당 아이디가 포함되어 있습니다.'
2020-10-04 | 15:05:44.737 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | updateUserInfo.categories: must not be empty
2020-10-04 | 15:05:45.108 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | jwt token은 Bearer로 시작해야 합니다
2020-10-04 | 15:05:45.449 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLatitude: must be less than or equal to 90
2020-10-04 | 15:05:47.848 | Test worker          | ERROR | TokenAuthenticationFilter | ID:          | jwt token은 Bearer로 시작해야 합니다
2020-10-04 | 15:05:48.298 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLatitude: must not be null
2020-10-04 | 15:05:48.618 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | updateUserInfo.name: must not be blank
2020-10-04 | 15:05:51.471 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLatitude: must be greater than or equal to -90
2020-10-04 | 15:05:51.770 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLongitude: must be less than or equal to 180
2020-10-04 | 15:05:52.275 | Test worker          | ERROR | nseEntityExceptionHandler | ID:          | createUserLiking.userLikingReqeust.userLiking[6].elapsedTime: must not be null, createUserLiking.userLikingReqeust.userLiking[0].elapsedTime: must not be null, createUserLiking.userLikingReqeust.userLiking[1].elapsedTime: must not be null, createUserLiking.userLikingReqeust.userLiking[3].elapsedTime: must not be null, createUserLiking.userLikingReqeust.userLiking[2].elapsedTime: must not be null, createUserLiking.userLikingReqeust.userLiking[4].elapsedTime: must not be null, createUserLiking.userLikingReqeust.userLiking[5].elapsedTime: must not be null
2020-10-04 | 15:05:53.086 | Test worker          | ERROR | c.s.s.s.TokenProvider     | ID:          | 토큰 타입이 불일치 합니다. accsse token이 필요합니다
